"","TraitName","AccSpeciesName","OrigValueStr","OrigUnitStr","StdValue","UnitName"
"12776","","Chimarrhis turbinata","118","",NA,""
"12777","","Chimarrhis turbinata","118","",NA,""
"12778","","Chimarrhis turbinata","137","",NA,""
"12779","","Chimarrhis turbinata","137","",NA,""
"12780","","Chimarrhis turbinata","137","",NA,""
"12781","","Chimarrhis turbinata","137","",NA,""
"12782","","Chimarrhis turbinata","137","",NA,""
"12783","","Chimarrhis turbinata","137","",NA,""
"12784","","Minquartia guianensis","137","",NA,""
"12785","","Minquartia guianensis","137","",NA,""
"12786","","Minquartia guianensis","137","",NA,""
"12787","","Minquartia guianensis","137","",NA,""
"12788","","Minquartia guianensis","137","",NA,""
"12789","","Minquartia guianensis","137","",NA,""
"12790","","Inga thibaudiana","137","",NA,""
"12791","","Inga thibaudiana","137","",NA,""
"12792","","Mimosa pudica","75","",NA,""
"12793","","Mimosa pudica","80","",NA,""
"12794","","Piper sp","663","",NA,""
"12795","","Piper sp","663","",NA,""
"12796","","Piper sp","663","",NA,""
"12797","","Trema micrantha","663","",NA,""
"12798","","Trema micrantha","663","",NA,""
"12799","","Trema micrantha","663","",NA,""
"12800","","Trema micrantha","663","",NA,""
"12801","","Trema micrantha","663","",NA,""
"12802","","Trema micrantha","663","",NA,""
"12803","","Calophyllum brasiliense","733","",NA,""
"12804","","Calophyllum brasiliense","973","",NA,""
"12805","","Samanea saman","87","",NA,""
"12806","","Calophyllum brasiliense","731","",NA,""
"12807","","Pourouma bicolor","196","",NA,""
"12808","","Terminalia amazonia","196","",NA,""
"12809","","Brosimum utile","197","",NA,""
"12810","","Calophyllum longifolium","197","",NA,""
"12811","","Piper sp","77","",NA,""
"12812","","Mimosa pudica","79","",NA,""
"12813","","Carapa guianensis","150","",NA,""
"12814","","Carapa guianensis","150","",NA,""
"12815","","Samanea saman","86","",NA,""
"12816","","Samanea saman","86","",NA,""
"12817","","Samanea saman","90","",NA,""
"12818","","Piper sp","131","",NA,""
"12819","","Carapa guianensis","198","",NA,""
"12820","","Virola koschnyi","198","",NA,""
"12821","","Brosimum guianense","Brazil","",NA,""
"12822","","Brosimum guianense","Brazil","",NA,""
"12823","","Brosimum guianense","Brazil","",NA,""
"12824","","Brosimum guianense","Brazil","",NA,""
"12825","","Brosimum guianense","Brazil","",NA,""
"12826","","Helicostylis tomentosa","Brazil","",NA,""
"12827","","Helicostylis tomentosa","Brazil","",NA,""
"12828","","Minquartia guianensis","Brazil","",NA,""
"12829","","Minquartia guianensis","Brazil","",NA,""
"12830","","Minquartia guianensis","Brazil","",NA,""
"12831","","Minquartia guianensis","Brazil","",NA,""
"12832","","Minquartia guianensis","Brazil","",NA,""
"12833","","Minquartia guianensis","Brazil","",NA,""
"12834","","Richeria dressleri","Brazil","",NA,""
"12835","","Calophyllum brasiliense","Brazil","",NA,""
"12836","","Chimarrhis turbinata","Brazil","",NA,""
"12837","","Chimarrhis turbinata","Brazil","",NA,""
"12838","","Chimarrhis turbinata","Brazil","",NA,""
"12839","","Chimarrhis turbinata","Brazil","",NA,""
"12840","","Chimarrhis turbinata","Brazil","",NA,""
"12841","","Chimarrhis turbinata","Brazil","",NA,""
"12842","","Chimarrhis turbinata","Brazil","",NA,""
"12843","","Chimarrhis turbinata","Brazil","",NA,""
"12844","","Chimarrhis turbinata","Brazil","",NA,""
"12845","","Chimarrhis turbinata","Brazil","",NA,""
"12846","","Chimarrhis turbinata","Brazil","",NA,""
"12847","","Chimarrhis turbinata","Brazil","",NA,""
"12848","","Chimarrhis turbinata","Brazil","",NA,""
"12849","","Chimarrhis turbinata","Brazil","",NA,""
"12850","","Chimarrhis turbinata","Brazil","",NA,""
"12851","","Chimarrhis turbinata","Brazil","",NA,""
"12852","","Chimarrhis turbinata","Brazil","",NA,""
"12853","","Chimarrhis turbinata","Brazil","",NA,""
"12854","","Chimarrhis turbinata","Brazil","",NA,""
"12855","","Chimarrhis turbinata","Brazil","",NA,""
"12856","","Chimarrhis turbinata","Brazil","",NA,""
"12857","","Chimarrhis turbinata","Brazil","",NA,""
"12858","","Chimarrhis turbinata","Brazil","",NA,""
"12859","","Chimarrhis turbinata","Brazil","",NA,""
"12860","","Chimarrhis turbinata","Brazil","",NA,""
"12861","","Chimarrhis turbinata","Brazil","",NA,""
"12862","","Chimarrhis turbinata","Brazil","",NA,""
"12863","","Chimarrhis turbinata","Brazil","",NA,""
"12864","","Chimarrhis turbinata","Brazil","",NA,""
"12865","","Chimarrhis turbinata","Brazil","",NA,""
"12866","","Chimarrhis turbinata","Brazil","",NA,""
"12867","","Chimarrhis turbinata","Brazil","",NA,""
"12868","","Chimarrhis turbinata","Brazil","",NA,""
"12869","","Chimarrhis turbinata","Brazil","",NA,""
"12870","","Chimarrhis turbinata","Brazil","",NA,""
"12871","","Minquartia guianensis","Brazil","",NA,""
"12872","","Minquartia guianensis","Brazil","",NA,""
"12873","","Minquartia guianensis","Brazil","",NA,""
"12874","","Minquartia guianensis","Brazil","",NA,""
"12875","","Minquartia guianensis","Brazil","",NA,""
"12876","","Minquartia guianensis","Brazil","",NA,""
"12877","","Inga thibaudiana","Brazil","",NA,""
"12878","","Inga thibaudiana","Brazil","",NA,""
"12879","","Mimosa pudica","Brazil","",NA,""
"12880","","Mimosa pudica","Brazil","",NA,""
"12881","","Piper sp","Brazil","",NA,""
"12882","","Piper sp","Brazil","",NA,""
"12883","","Piper sp","Brazil","",NA,""
"12884","","Trema micrantha","Brazil","",NA,""
"12885","","Trema micrantha","Brazil","",NA,""
"12886","","Trema micrantha","Brazil","",NA,""
"12887","","Trema micrantha","Brazil","",NA,""
"12888","","Trema micrantha","Brazil","",NA,""
"12889","","Trema micrantha","Brazil","",NA,""
"12890","","Calophyllum brasiliense","Brazil","",NA,""
"12891","","Calophyllum brasiliense","Brazil","",NA,""
"12892","","Samanea saman","Thailand","",NA,""
"12893","","Calophyllum brasiliense","Brazil","",NA,""
"12894","","Pourouma bicolor","Panama","",NA,""
"12895","","Terminalia amazonia","Panama","",NA,""
"12896","","Brosimum utile","Panama","",NA,""
"12897","","Calophyllum longifolium","Panama","",NA,""
"12898","","Piper sp","Brazil","",NA,""
"12899","","Mimosa pudica","Brazil","",NA,""
"12900","","Carapa guianensis","French Guyana","",NA,""
"12901","","Carapa guianensis","French Guyana","",NA,""
"12902","","Samanea saman","Thailand","",NA,""
"12903","","Samanea saman","Thailand","",NA,""
"12904","","Samanea saman","Thailand","",NA,""
"12905","","Piper sp","Costa Rica","",NA,""
"12906","","Carapa guianensis","Panama","",NA,""
"12907","","Virola koschnyi","Panama","",NA,""
"12908","","Brosimum guianense","South America","",NA,""
"12909","","Brosimum guianense","South America","",NA,""
"12910","","Brosimum guianense","South America","",NA,""
"12911","","Brosimum guianense","South America","",NA,""
"12912","","Brosimum guianense","South America","",NA,""
"12913","","Helicostylis tomentosa","South America","",NA,""
"12914","","Helicostylis tomentosa","South America","",NA,""
"12915","","Minquartia guianensis","South America","",NA,""
"12916","","Minquartia guianensis","South America","",NA,""
"12917","","Minquartia guianensis","South America","",NA,""
"12918","","Minquartia guianensis","South America","",NA,""
"12919","","Minquartia guianensis","South America","",NA,""
"12920","","Minquartia guianensis","South America","",NA,""
"12921","","Richeria dressleri","South America","",NA,""
"12922","","Calophyllum brasiliense","South America","",NA,""
"12923","","Chimarrhis turbinata","South America","",NA,""
"12924","","Chimarrhis turbinata","South America","",NA,""
"12925","","Chimarrhis turbinata","South America","",NA,""
"12926","","Chimarrhis turbinata","South America","",NA,""
"12927","","Chimarrhis turbinata","South America","",NA,""
"12928","","Chimarrhis turbinata","South America","",NA,""
"12929","","Chimarrhis turbinata","South America","",NA,""
"12930","","Chimarrhis turbinata","South America","",NA,""
"12931","","Chimarrhis turbinata","South America","",NA,""
"12932","","Chimarrhis turbinata","South America","",NA,""
"12933","","Chimarrhis turbinata","South America","",NA,""
"12934","","Chimarrhis turbinata","South America","",NA,""
"12935","","Chimarrhis turbinata","South America","",NA,""
"12936","","Chimarrhis turbinata","South America","",NA,""
"12937","","Chimarrhis turbinata","South America","",NA,""
"12938","","Chimarrhis turbinata","South America","",NA,""
"12939","","Chimarrhis turbinata","South America","",NA,""
"12940","","Chimarrhis turbinata","South America","",NA,""
"12941","","Chimarrhis turbinata","South America","",NA,""
"12942","","Chimarrhis turbinata","South America","",NA,""
"12943","","Chimarrhis turbinata","South America","",NA,""
"12944","","Chimarrhis turbinata","South America","",NA,""
"12945","","Chimarrhis turbinata","South America","",NA,""
"12946","","Chimarrhis turbinata","South America","",NA,""
"12947","","Chimarrhis turbinata","South America","",NA,""
"12948","","Chimarrhis turbinata","South America","",NA,""
"12949","","Chimarrhis turbinata","South America","",NA,""
"12950","","Chimarrhis turbinata","South America","",NA,""
"12951","","Chimarrhis turbinata","South America","",NA,""
"12952","","Chimarrhis turbinata","South America","",NA,""
"12953","","Chimarrhis turbinata","South America","",NA,""
"12954","","Chimarrhis turbinata","South America","",NA,""
"12955","","Chimarrhis turbinata","South America","",NA,""
"12956","","Chimarrhis turbinata","South America","",NA,""
"12957","","Chimarrhis turbinata","South America","",NA,""
"12958","","Minquartia guianensis","South America","",NA,""
"12959","","Minquartia guianensis","South America","",NA,""
"12960","","Minquartia guianensis","South America","",NA,""
"12961","","Minquartia guianensis","South America","",NA,""
"12962","","Minquartia guianensis","South America","",NA,""
"12963","","Minquartia guianensis","South America","",NA,""
"12964","","Inga thibaudiana","South America","",NA,""
"12965","","Inga thibaudiana","South America","",NA,""
"12966","","Mimosa pudica","South America","",NA,""
"12967","","Mimosa pudica","South America","",NA,""
"12968","","Piper sp","South America","",NA,""
"12969","","Piper sp","South America","",NA,""
"12970","","Piper sp","South America","",NA,""
"12971","","Trema micrantha","South America","",NA,""
"12972","","Trema micrantha","South America","",NA,""
"12973","","Trema micrantha","South America","",NA,""
"12974","","Trema micrantha","South America","",NA,""
"12975","","Trema micrantha","South America","",NA,""
"12976","","Trema micrantha","South America","",NA,""
"12977","","Calophyllum brasiliense","South America","",NA,""
"12978","","Calophyllum brasiliense","South America","",NA,""
"12979","","Samanea saman","Asia","",NA,""
"12980","","Calophyllum brasiliense","South America","",NA,""
"12981","","Pourouma bicolor","North America","",NA,""
"12982","","Terminalia amazonia","North America","",NA,""
"12983","","Brosimum utile","North America","",NA,""
"12984","","Calophyllum longifolium","North America","",NA,""
"12985","","Piper sp","South America","",NA,""
"12986","","Mimosa pudica","South America","",NA,""
"12987","","Carapa guianensis","South America","",NA,""
"12988","","Carapa guianensis","South America","",NA,""
"12989","","Samanea saman","Asia","",NA,""
"12990","","Samanea saman","Asia","",NA,""
"12991","","Samanea saman","Asia","",NA,""
"12992","","Piper sp","North America","",NA,""
"12993","","Carapa guianensis","North America","",NA,""
"12994","","Virola koschnyi","North America","",NA,""
"12995","","Acer negundo","5.76","",NA,""
"12996","","Cochlospermum vitifolium","Bas","",NA,""
"12997","","Guazuma ulmifolia","Bas","",NA,""
"12998","","Cochlospermum vitifolium","Haut","",NA,""
"12999","","Guazuma ulmifolia","Haut","",NA,""
"13000","","Acer negundo","high","",NA,""
"13001","","Cochlospermum vitifolium","low","",NA,""
"13002","","Guazuma ulmifolia","low","",NA,""
"13003","","Cochlospermum vitifolium","high","",NA,""
"13004","","Guazuma ulmifolia","high","",NA,""
"13005","","Cochlospermum vitifolium","high","",NA,""
"13006","","Cochlospermum vitifolium","high","",NA,""
"13007","","Pinus flexilis","high","",NA,""
"13008","","Acer negundo","BIOPOP April 2005","",NA,""
"13009","","Cornus sericea","BIOPOP April 2005","",NA,""
"13010","","Cornus sericea","JŠger E.J. (2002): Rothmaler Exkursionsflora von Deutschland. GefŠ§pflanzen: Kritischer Band","",NA,""
"13011","","Acer negundo","Woods of the world http://www.forestworld.com","",NA,""
"13012","","Acer negundo","BIOPOP April 2005","",NA,""
"13013","","Cornus sericea","BIOPOP April 2005","",NA,""
"13014","","Cornus sericea","Source data from Radboud University Aquatic Ecology and Environmental Biology NL (Ozinga)  E-Mail: w","",NA,""
"13015","","Acer negundo","Woods of the world http://www.forestworld.com","",NA,""
"13016","","Acer negundo","Kleyer M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landsch","",NA,""
"13017","","Cornus sericea","JŠger E.J. (2002): Rothmaler Exkursionsflora von Deutschland. GefŠ§pflanzen: Kritischer Band","",NA,""
"13018","","Cornus sericea","Barkman J.J.(1988): New systems of plant growth forms and phenological plant types","",NA,""
"13019","","Acer negundo","unknown","",NA,""
"13020","","Acer negundo","no leaf rehydration","",NA,""
"13021","","Acer negundo","Shipley B.(2002): Trade-offs between net assimilation rate and specific leaf area in determining rel","",NA,""
"13022","","Acer negundo","Source data from Carl von Ossietzky university of Oldenburg Landscape Ecology Group DE (Kunzmann) E-","",NA,""
"13023","","Acer negundo","Shipley B.(2002): Trade-offs between net assimilation rate and specific leaf area in determining rel","",NA,""
"13024","","Acer negundo","Wright Ian J. et al (2004): The worldwide leaf economics spectrum (iwright@rna.bio.mq.edu.au)","",NA,""
"13025","","Tilia americana","USA","",NA,""
"13026","","Tilia americana","USA","",NA,""
"13027","","Calophyllum brasiliense","Puerto Rico","",NA,""
"13028","","Calophyllum brasiliense","Puerto Rico","",NA,""
"13029","","Casearia arborea","Puerto Rico","",NA,""
"13030","","Casearia arborea","Puerto Rico","",NA,""
"13031","","Ocotea leucoxylon","Puerto Rico","",NA,""
"13032","","Ocotea leucoxylon","Puerto Rico","",NA,""
"13033","","Trema micrantha","Puerto Rico","",NA,""
"13034","","Turpinia occidentalis","Puerto Rico","",NA,""
"13035","","Acer negundo","Canada","",NA,""
"13036","","Acer negundo","Canada","",NA,""
"13037","","Tilia americana","Canada","",NA,""
"13038","","Tilia americana","Canada","",NA,""
"13039","","Turpinia occidentalis","Jamaica","",NA,""
"13040","","Casearia arborea","Puerto Rico","",NA,""
"13041","","Ocotea leucoxylon","Puerto Rico","",NA,""
"13042","","Clarisia biflora","Mexico","",NA,""
"13043","","Lunania mexicana","Mexico","",NA,""
"13044","","Trema micrantha","Mexico","",NA,""
"13045","","Turpinia occidentalis","Mexico","",NA,""
"13046","","Tetragastris panamensis","Brazil","",NA,""
"13047","","Tetragastris panamensis","Brazil","",NA,""
"13048","","Tetragastris panamensis","Brazil","",NA,""
"13049","","Tetragastris panamensis","Brazil","",NA,""
"13050","","Acer negundo","Canada","",NA,""
"13051","","Tilia americana","Canada","",NA,""
"13052","","Acer negundo","USA","",NA,""
"13053","","Clarisia biflora","Mexico","",NA,""
"13054","","Lunania mexicana","Mexico","",NA,""
"13055","","Trema micrantha","Mexico","",NA,""
"13056","","Turpinia occidentalis","Mexico","",NA,""
"13057","","Acer negundo","Canada","",NA,""
"13058","","Tilia americana","Canada","",NA,""
"13059","","Cochlospermum vitifolium","Venezuela","",NA,""
"13060","","Comarostaphylis arbutoides","Costa Rica","",NA,""
"13061","","Myrcianthes fragrans","Costa Rica","",NA,""
"13062","","Buddleja nitida","Costa Rica","",NA,""
"13063","","Comarostaphylis arbutoides","Costa Rica","",NA,""
"13064","","Myrcianthes fragrans","Costa Rica","",NA,""
"13065","","Miconia schnellii","Costa Rica","",NA,""
"13066","","Quercus costaricensis","Costa Rica","",NA,""
"13067","","Quercus costaricensis","Costa Rica","",NA,""
"13068","","Quercus costaricensis","Costa Rica","",NA,""
"13069","","Pourouma bicolor","Panama","",NA,""
"13070","","Socratea exorrhiza","Panama","",NA,""
"13071","","Trema micrantha","Panama","",NA,""
"13072","","Doliocarpus dentatus","Panama","",NA,""
"13073","","Lozania pittieri","Panama","",NA,""
"13074","","Pentacalia sp","Ecuador","",NA,""
"13075","","Pentacalia sp","Ecuador","",NA,""
"13076","","Pentacalia sp","Ecuador","",NA,""
"13077","","Pentacalia sp","Ecuador","",NA,""
"13078","","Pentacalia sp","Ecuador","",NA,""
"13079","","Piper sp","Ecuador","",NA,""
"13080","","Tilia americana","NAm","",NA,""
"13081","","Tilia americana","NAm","",NA,""
"13082","","Calophyllum brasiliense","SAm","",NA,""
"13083","","Calophyllum brasiliense","SAm","",NA,""
"13084","","Casearia arborea","SAm","",NA,""
"13085","","Casearia arborea","SAm","",NA,""
"13086","","Ocotea leucoxylon","SAm","",NA,""
"13087","","Ocotea leucoxylon","SAm","",NA,""
"13088","","Trema micrantha","SAm","",NA,""
"13089","","Turpinia occidentalis","SAm","",NA,""
"13090","","Acer negundo","NAm","",NA,""
"13091","","Acer negundo","NAm","",NA,""
"13092","","Tilia americana","NAm","",NA,""
"13093","","Tilia americana","NAm","",NA,""
"13094","","Turpinia occidentalis","SAm","",NA,""
"13095","","Casearia arborea","SAm","",NA,""
"13096","","Ocotea leucoxylon","SAm","",NA,""
"13097","","Clarisia biflora","NAm","",NA,""
"13098","","Lunania mexicana","NAm","",NA,""
"13099","","Trema micrantha","NAm","",NA,""
"13100","","Turpinia occidentalis","NAm","",NA,""
"13101","","Tetragastris panamensis","SAm","",NA,""
"13102","","Tetragastris panamensis","SAm","",NA,""
"13103","","Tetragastris panamensis","SAm","",NA,""
"13104","","Tetragastris panamensis","SAm","",NA,""
"13105","","Acer negundo","NAm","",NA,""
"13106","","Tilia americana","NAm","",NA,""
"13107","","Acer negundo","NAm","",NA,""
"13108","","Clarisia biflora","NAm","",NA,""
"13109","","Lunania mexicana","NAm","",NA,""
"13110","","Trema micrantha","NAm","",NA,""
"13111","","Turpinia occidentalis","NAm","",NA,""
"13112","","Acer negundo","NAm","",NA,""
"13113","","Tilia americana","NAm","",NA,""
"13114","","Cochlospermum vitifolium","SAm","",NA,""
"13115","","Comarostaphylis arbutoides","SAm","",NA,""
"13116","","Myrcianthes fragrans","SAm","",NA,""
"13117","","Buddleja nitida","SAm","",NA,""
"13118","","Comarostaphylis arbutoides","SAm","",NA,""
"13119","","Myrcianthes fragrans","SAm","",NA,""
"13120","","Miconia schnellii","SAm","",NA,""
"13121","","Quercus costaricensis","SAm","",NA,""
"13122","","Quercus costaricensis","SAm","",NA,""
"13123","","Quercus costaricensis","SAm","",NA,""
"13124","","Pourouma bicolor","SAm","",NA,""
"13125","","Socratea exorrhiza","SAm","",NA,""
"13126","","Trema micrantha","SAm","",NA,""
"13127","","Doliocarpus dentatus","SAm","",NA,""
"13128","","Lozania pittieri","SAm","",NA,""
"13129","","Pentacalia sp","SAm","",NA,""
"13130","","Pentacalia sp","SAm","",NA,""
"13131","","Pentacalia sp","SAm","",NA,""
"13132","","Pentacalia sp","SAm","",NA,""
"13133","","Pentacalia sp","SAm","",NA,""
"13134","","Piper sp","SAm","",NA,""
"13135","","Acer negundo","unknown","",NA,""
"13136","","Acer negundo","1","",NA,""
"13137","","Acer negundo","785","",NA,""
"13138","","Acer negundo","BIOPOP April 2005","",NA,""
"13139","","Acer negundo","unknown","",NA,""
"13140","","Acer negundo","1","",NA,""
"13141","","Acer negundo","785","",NA,""
"13142","","Acer negundo","BIOPOP April 2005","",NA,""
"13143","","Cornus sericea","unknown","",NA,""
"13144","","Cornus sericea","1","",NA,""
"13145","","Cornus sericea","18436","",NA,""
"13146","","Cornus sericea","BIOPOP April 2005","",NA,""
"13147","","Cornus sericea","unknown","",NA,""
"13148","","Cornus sericea","1","",NA,""
"13149","","Cornus sericea","18436","",NA,""
"13150","","Cornus sericea","BIOPOP April 2005","",NA,""
"13151","","Acer negundo","785","",NA,""
"13152","","Acer negundo","derivation from photos or drawings","",NA,""
"13153","","Acer negundo","1","",NA,""
"13154","","Acer negundo","BIOPOP April 2005","",NA,""
"13155","","Acer negundo","785","",NA,""
"13156","","Acer negundo","derivation from photos or drawings","",NA,""
"13157","","Acer negundo","1","",NA,""
"13158","","Acer negundo","BIOPOP April 2005","",NA,""
"13159","","Cornus sericea","18436","",NA,""
"13160","","Cornus sericea","derivation from photos or drawings","",NA,""
"13161","","Cornus sericea","1","",NA,""
"13162","","Cornus sericea","BIOPOP April 2005","",NA,""
"13163","","Cornus sericea","18436","",NA,""
"13164","","Cornus sericea","derivation from photos or drawings","",NA,""
"13165","","Cornus sericea","1","",NA,""
"13166","","Cornus sericea","BIOPOP April 2005","",NA,""
"13167","","Acer negundo","6","",NA,""
"13168","","Acer negundo","1","",NA,""
"13169","","Acer negundo","785","",NA,""
"13170","","Acer negundo","1","",NA,""
"13171","","Acer negundo","juvenile","",NA,""
"13172","","Acer negundo","unknown","",NA,""
"13173","","Acer negundo","0","",NA,""
"13174","","Acer negundo","0","",NA,""
"13175","","Acer negundo","Shipley B.(2002): Trade-offs between net assimilation rate and specific leaf area in determining rel","",NA,""
"13176","","Acer negundo","1","",NA,""
"13177","","Acer negundo","1","",NA,""
"13178","","Acer negundo","785","",NA,""
"13179","","Acer negundo","10","",NA,""
"13180","","Acer negundo","unknown","",NA,""
"13181","","Acer negundo","without petiole and rachis","",NA,""
"13182","","Acer negundo","Source data from Carl von Ossietzky university of Oldenburg Landscape Ecology Group DE (Kunzmann) E-","",NA,""
"13183","","Rawsonia lucida","H. Wild (1960) Flora Zambesiaca  Vol. 1 Part 1; Kew Publishing and Flora Zambesiaca Managing Co ...","",NA,""
"13184","","Entada gigas","J.P.M. Brenan (1970) Flora Zambesiaca  Vol. 3 Part 1; Kew Publishing and Flora Zambesiaca Manag ...","",NA,""
"13185","","Mimosa pudica","J.P.M. Brenan (1970) Flora Zambesiaca  Vol. 3 Part 1; Kew Publishing and Flora Zambesiaca Manag ...","",NA,""
"13186","","Acer negundo","Burns & Honkala [cited 2006]","years",NA,""
"13187","","Acer negundo","U.S. Department of Agriculture, Forest Service","years",NA,""
"13188","","Acer negundo","Burns & Honkala [cited 2006]","",NA,""
"13189","","Acer negundo","U.S. Department of Agriculture, Forest Service","",NA,""
"13190","","Cornus nuttallii","U.S. Department of Agriculture, Forest Service","",NA,""
"13191","","Juniperus deppeana","SchŸtt et al 2004","",NA,""
"13192","","Juniperus deppeana","SchŸtt et al 2004","",NA,""
"13193","","Juniperus deppeana","U.S. Department of Agriculture, Forest Service","",NA,""
"13194","","Pinus leiophylla","U.S. Department of Agriculture, Forest Service","",NA,""
"13195","","Tilia americana","SchŸtt et al 2002","",NA,""
"13196","","Tilia americana","SchŸtt et al 2002","",NA,""
"13197","","Tilia americana","Burns & Honkala [cited 2006]","",NA,""
"13198","","Pinus leiophylla","Earle 2007","",NA,""
"13199","","Tilia americana","LC Floridata.com 1996","",NA,""
"13200","","Tilia americana","LC Floridata.com 1996","",NA,""
"13201","","Acer negundo","laboratory/greenhouse/garden experiment","",NA,""
"13202","","Acer negundo","unknown","",NA,""
"13203","","Acer negundo","planted in washed silica sand nutrient solution added","",NA,""
"13204","","Acer negundo","Ricklefs_SE_Ontario Number of samples and replicates unknown","",NA,""
"13205","","Clarisia biflora","Bongers","",NA,""
"13206","","Clarisia biflora","Bongers_et_al_Los_Tuxtlas","",NA,""
"13207","","Clarisia biflora","angio","",NA,""
"13208","Plant nitrogen fixation capacity","Clarisia biflora","N","",NA,""
"13209","Leaf area per leaf dry mass (specific leaf area, SLA)","Clarisia biflora","92.91027429","cm2/g",9.291027429,"mm2 mg-1"
"13210","Leaf area per leaf dry mass (specific leaf area, SLA)","Clarisia biflora","107.630723","g/m2",9.291027429,"mm2 mg-1"
"13211","Leaf nitrogen (N) content per leaf dry mass","Clarisia biflora","2.1","%",21,"mg/g"
"13212","Leaf phosphorus (P) content per leaf dry mass","Clarisia biflora","0.1137","%",1.137,"mg/g"
"13213","Plant height","Clarisia biflora","25","m",25,"m"
"13214","","Clarisia biflora","-18","",18,""
"13215","","Clarisia biflora","-93.5","",-93.5,""
"13216","","Clarisia biflora","340","m",340,"m"
"13217","","Clarisia biflora","24.6","C",NA,""
"13218","","Clarisia biflora","24.6","C",NA,""
"13219","","Clarisia biflora","5","",NA,""
"13220","","Clarisia biflora","8","",NA,""
"13221","","Clarisia biflora","4725","mm",NA,""
"13222","","Clarisia biflora","4725.2","mm",NA,""
"13223","","Clarisia biflora","6","",NA,""
"13224","","Clarisia biflora","6","",NA,""
"13225","","Clarisia biflora","0.850941571","kPa",NA,""
"13226","","Clarisia biflora","0.850941571","kPa",NA,""
"13227","","Clarisia biflora","5","",NA,""
"13228","","Clarisia biflora","6","",NA,""
"13229","","Clarisia biflora","162.5","W/m2",NA,""
"13230","","Clarisia biflora","162.5","",NA,""
"13231","","Clarisia biflora","6","",NA,""
"13232","","Clarisia biflora","4","",NA,""
"13233","","Clarisia biflora","1302.975","mm",NA,""
"13234","","Clarisia biflora","1302.975","mm",NA,""
"13235","","Clarisia biflora","4","",NA,""
"13236","","Clarisia biflora","3422.225","mm",NA,""
"13237","","Clarisia biflora","3422.225","mm",NA,""
"13238","","Clarisia biflora","6","",NA,""
"13239","","Clarisia biflora","3.626316698","",NA,""
"13240","","Clarisia biflora","349","mm",NA,""
"13241","Leaf nitrogen/phosphorus (N/P) ratio","Clarisia biflora","18.46965699","g/g",18.46965699,"g/g"
"13242","Species ocurrence range: climate type","Clarisia biflora","TROP","",NA,""
"13243","","Clarisia biflora","9","",NA,""
"13244","","Clarisia biflora","20.7","C",NA,""
"13245","","Clarisia biflora","21.1","C",NA,""
"13246","","Clarisia biflora","23.7","C",NA,""
"13247","","Clarisia biflora","25.8","C",NA,""
"13248","","Clarisia biflora","26.9","C",NA,""
"13249","","Clarisia biflora","26.7","C",NA,""
"13250","","Clarisia biflora","26","C",NA,""
"13251","","Clarisia biflora","26.3","C",NA,""
"13252","","Clarisia biflora","26.3","C",NA,""
"13253","","Clarisia biflora","24.7","C",NA,""
"13254","","Clarisia biflora","22.7","C",NA,""
"13255","","Clarisia biflora","24.3","C",NA,""
"13256","","Clarisia biflora","429.1","mm",NA,""
"13257","","Clarisia biflora","350.4","mm",NA,""
"13258","","Clarisia biflora","138.4","mm",NA,""
"13259","","Clarisia biflora","108.9","mm",NA,""
"13260","","Clarisia biflora","101.7","mm",NA,""
"13261","","Clarisia biflora","453.2","mm",NA,""
"13262","","Clarisia biflora","455.6","mm",NA,""
"13263","","Clarisia biflora","553.7","mm",NA,""
"13264","","Clarisia biflora","589.2","mm",NA,""
"13265","","Clarisia biflora","582.5","mm",NA,""
"13266","","Clarisia biflora","560.2","mm",NA,""
"13267","","Clarisia biflora","402.3","mm",NA,""
"13268","","Clarisia biflora","0.566969271","kPa",NA,""
"13269","","Clarisia biflora","0.754174783","kPa",NA,""
"13270","","Clarisia biflora","0.840131111","kPa",NA,""
"13271","","Clarisia biflora","1.130535131","kPa",NA,""
"13272","","Clarisia biflora","1.151291747","kPa",NA,""
"13273","","Clarisia biflora","1.025413898","kPa",NA,""
"13274","","Clarisia biflora","0.908451958","kPa",NA,""
"13275","","Clarisia biflora","0.942730817","kPa",NA,""
"13276","","Clarisia biflora","0.842872712","kPa",NA,""
"13277","","Clarisia biflora","0.740035224","kPa",NA,""
"13278","","Clarisia biflora","0.719761723","kPa",NA,""
"13279","","Clarisia biflora","0.588930474","kPa",NA,""
"13280","","Clarisia biflora","136","W7m2",NA,""
"13281","","Clarisia biflora","166","W7m2",NA,""
"13282","","Clarisia biflora","177","W7m2",NA,""
"13283","","Clarisia biflora","174","W7m2",NA,""
"13284","","Clarisia biflora","182","W7m2",NA,""
"13285","","Clarisia biflora","173","W7m2",NA,""
"13286","","Clarisia biflora","183","W7m2",NA,""
"13287","","Clarisia biflora","185","W7m2",NA,""
"13288","","Clarisia biflora","153","W7m2",NA,""
"13289","","Clarisia biflora","150","W7m2",NA,""
"13290","","Clarisia biflora","142","W7m2",NA,""
"13291","","Clarisia biflora","129","W7m2",NA,""
"13292","","Clarisia biflora","85.925","mm",NA,""
"13293","","Clarisia biflora","101.825","mm",NA,""
"13294","","Clarisia biflora","123.9","mm",NA,""
"13295","","Clarisia biflora","164.45","mm",NA,""
